County,PM,
Albany,7.9,
Allegany,6.5,
Bronx,8.3,
Broome,6.9,
Cattaraugus,7.3,
Cayuga,6.4,
Chautauqua,6.6,
Chemung,6.2,
Chenango,6.5,
Clinton,7,
Columbia,7,
Cortland,6.1,
Delaware,6.6,
Dutchess,7.7,
Erie,7.6,
Essex,3.4,
Franklin,7.4,
Fulton,6.7,
Genesee,7.3,
Greene,6.8,
Hamilton,6,
Herkimer,6.5,
Jefferson,6.8,
Kings,7.9,
Lewis,6.1,
Livingston,6.7,
Madison,6.1,
Monroe,7.4,
Montgomery,6.9,
Nassau,8.7,
New York,10.4,
Niagara,8.7,
Oneida,6.5,
Onondaga,5.1,
Ontario,6.6,
Orange,6.4,
Orleans,7.3,
Oswego,6.4,
Otsego,6.4,
Putnam,7.9,
Queens,8.3,
Rensselaer,7.5,
Richmond,7.8,
Rockland,8.8,
Saratoga,7.7,
Schenectady,7.5,
Schoharie,6.5,
Schuyler,6,
Seneca,6.4,
St. Lawrence,7.7,
Steuben,4.8,
Suffolk,6.8,
Sullivan,7.2,
Tioga,6.6,
Tompkins,6.2,
Ulster,7.4,
Warren,7.2,
Washington,7.3,
Wayne,6.7,
Westchester,9.3,
Wyoming,7,
Yates,6,