County,Unemployment,MedianIncome,CollegeDegree,PM,Poverty,PopDensity,,,,,,,,,,,,,,,
"Albany County, NY",4.4,70629,0.44,7.9,11.3,587.45,,,,,,,,,,,,,,,
"Allegany County, NY",5,53371,0.23,6.5,15.1,45.11,,,,,,,,,,,,,,,
"Bronx County, NY",13.6,44906,0.20,8.3,24.4,"34,017.39",,,,,,,,,,,,,,,
"Broome County, NY",5.2,52510,0.29,6.9,18.4,271.56,,,,,,,,,,,,,,,
"Cattaraugus County, NY",5.3,51824,0.20,7.3,16.3,58.73,,,,,,,,,,,,,,,
"Cayuga County, NY",4.7,59335,0.22,6.4,11.7,111.55,,,,,,,,,,,,,,,
"Chautauqua County, NY",5.6,50062,0.23,6.6,14.8,120.67,,,,,,,,,,,,,,,
"Chemung County, NY",5.3,54705,0.24,6.2,14.5,206.83,,,,,,,,,,,,,,,
"Chenango County, NY",4.4,52545,0.19,6.5,11.5,53.2,,,,,,,,,,,,,,,
"Clinton County, NY",4.6,59741,0.24,7,11.1,77.75,,,,,,,,,,,,,,,
"Columbia County, NY",3.8,66068,0.34,7,10.2,94.4,,,,,,,,,,,,,,,
"Cortland County, NY",5.1,60165,0.27,6.1,11.7,95.88,,,,,,,,,,,,,,,
"Delaware County, NY",4.6,54440,0.22,6.6,12.8,30.87,,,,,,,,,,,,,,,
"Dutchess County, NY",4.4,79276,0.36,7.7,8.3,369.16,,,,,,,,,,,,,,,
"Erie County, NY",5.5,59584,0.35,7.6,13.2,882.06,,,,,,,,,,,,,,,
"Essex County, NY",4.7,57129,0.30,3.4,10.2,20.79,,,,,,,,,,,,,,,
"Franklin County, NY",4.7,58709,0.21,7.4,15.9,30.87,,,,,,,,,,,,,,,
"Fulton County, NY",5.5,55405,0.18,6.7,13.9,108.16,,,,,,,,,,,,,,,
"Genesee County, NY",4.3,62641,0.22,7.3,10.2,116.67,,,,,,,,,,,,,,,
"Greene County, NY",4.9,60163,0.24,6.8,11.2,73.38,,,,,,,,,,,,,,,
"Hamilton County, NY",4.4,56253,0.20,6,8.7,2.58,,,,,,,,,,,,,,,
"Herkimer County, NY",5.8,59893,0.21,6.5,12.1,43.81,,,,,,,,,,,,,,,
"Jefferson County, NY",5,57570,0.23,6.8,13.1,88.09,,,,,,,,,,,,,,,
"Kings County, NY",10.1,70390,0.39,7.9,17.8,"36,470.35",,,,,,,,,,,,,,,
"Lewis County, NY",5,57897,0.18,6.1,11.4,20.75,,,,,,,,,,,,,,,
"Livingston County, NY",4.3,60947,0.28,6.7,10.3,100.08,,,,,,,,,,,,,,,
"Madison County, NY",4.5,64379,0.27,6.1,10.4,108.11,,,,,,,,,,,,,,,
"Monroe County, NY",5.2,61358,0.39,7.4,13.9,"1,129.74",,,,,,,,,,,,,,,
"Montgomery County, NY",5.7,52482,0.19,6.9,11.9,122.7,,,,,,,,,,,,,,,
"Nassau County, NY",4.5,47254,0.47,8.7,5.7,"4,770.80",,,,,,,,,,,,,,,
"New York County, NY",7.6,87745,0.62,10.4,16.3,"71,340.39",,,,,,,,,,,,,,,
"Niagara County, NY",5.7,54963,0.26,8.7,11.7,402.85,,,,,,,,,,,,,,,
"Oneida County, NY",5.1,58696,0.27,6.5,12.4,189.35,,,,,,,,,,,,,,,
"Onondaga County, NY",4.9,63963,0.36,5.1,12.8,593.29,,,,,,,,,,,,,,,
"Ontario County, NY",4.3,62777,0.36,6.6,8.8,170.58,,,,,,,,,,,,,,,
"Orange County, NY",4.7,78724,0.31,6.4,10.6,470.56,,,,,,,,,,,,,,,
"Orleans County, NY",5.2,57318,0.16,7.3,13.2,103.8,,,,,,,,,,,,,,,
"Oswego County, NY",5.5,58439,0.20,6.4,14.2,123.89,,,,,,,,,,,,,,,
"Otsego County, NY",4.4,58417,0.33,6.4,12.8,59.65,,,,,,,,,,,,,,,
"Putnam County, NY",4.2,42411,0.41,7.9,5.7,429.39,,,,,,,,,,,,,,,
"Queens County, NY",9.6,78847,0.34,8.3,10.3,"20,997.94",,,,,,,,,,,,,,,
"Rensselaer County, NY",4.4,71457,0.34,7.5,10.4,244.38,,,,,,,,,,,,,,,
"Richmond County, NY",8.7,81003,0.35,7.8,10.6,"8,157.94",,,,,,,,,,,,,,,
"Rockland County, NY",4.4,94874,0.42,8.8,14.4,"1,876.66",,,,,,,,,,,,,,,
"St. Lawrence County, NY",5.1,51526,0.24,7.7,14.7,284.16,,,,,,,,,,,,,,,
"Saratoga County, NY",3.8,83427,0.42,7.5,6.3,759.58,,,,,,,,,,,,,,,
"Schenectady County, NY",4.9,66292,0.32,6.5,10.9,50.01,,,,,,,,,,,,,,,
"Schoharie County, NY",4.5,59744,0.24,6,11,54.55,,,,,,,,,,,,,,,
"Schuyler County, NY",4.9,54269,0.23,6.4,11.8,105.96,,,,,,,,,,,,,,,
"Seneca County, NY",4.7,56929,0.21,7.7,12.1,40.31,,,,,,,,,,,,,,,
"Steuben County, NY",5,54794,0.25,4.8,12.1,68.89,,,,,,,,,,,,,,,
"Suffolk County, NY",4.6,43018,0.37,6.8,6.1,"1,623.92",,,,,,,,,,,,,,,
"Sullivan County, NY",4.9,63915,0.27,7.2,12.7,77.98,,,,,,,,,,,,,,,
"Tioga County, NY",4.4,62400,0.26,6.6,9.3,93.64,,,,,,,,,,,,,,,
"Tompkins County, NY",3.7,65308,0.53,6.2,12.4,216.57,,,,,,,,,,,,,,,
"Ulster County, NY",4.7,66060,0.33,7.4,12.7,158.86,,,,,,,,,,,,,,,
"Warren County, NY",4.9,67359,0.32,7.2,8.9,74.13,,,,,,,,,,,,,,,
"Washington County, NY",4.6,60973,0.20,7.3,11.2,73.63,,,,,,,,,,,,,,,
"Wayne County, NY",4.5,62329,0.24,6.7,9.7,149.15,,,,,,,,,,,,,,,
"Westchester County, NY",4.8,44184,0.50,9.3,7.6,"2,247.65",,,,,,,,,,,,,,,
"Wyoming County, NY",4.5,59612,0.18,7,9.6,67.63,,,,,,,,,,,,,,,
"Yates County, NY",3.8,57057,0.25,6,12.9,73.46,,,,,,,,,,,,,,,